account_id,account_type,snapshot_date,employee_count,industry,intent_score,mql_count_90d,trial_started,trial_active_users,web_touchpoints_90d,sales_contacts_90d,probability,tier,track,needs_review,quality_flags,reason_codes,draft_outreach
ACC-00146,Prospect,2026-01-21,62,Manufacturing,4.4,0,1,0,3,5,0.1216575438564018,Hot,SDR_Outbound,False,,has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); shows below-average buying intent (score 4 vs. a typical 29); has been more active on the website than usual (3 visits in the last 90 days vs. a typical 2),"This account has had more contact with sales than typical (5 touches in 90 days vs. a typical 1), making it a strong outbound candidate right now. Additionally, this account shows below-average buying intent (score 4 vs. a typical 29). Since they're in Manufacturing, open with a relevant use case for that industry rather than a generic intro."
ACC-01382,Prospect,2025-08-31,127,Healthcare,23.9,0,0,0,2,4,0.11601435870713352,Hot,SDR_Outbound,False,,has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); is a larger company by headcount (127 employees vs. a typical 61); shows below-average buying intent (score 24 vs. a typical 29),"This account has had more contact with sales than typical (4 touches in 90 days vs. a typical 1), making it a strong outbound candidate right now. Additionally, this account is a larger company by headcount (127 employees vs. a typical 61). Since they're in Healthcare, open with a relevant use case for that industry rather than a generic intro."
ACC-01019,Prospect,2026-03-24,29,Manufacturing,7.7,5,0,0,0,4,0.11588595292577854,Hot,SDR_Outbound,False,,has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); has not visited the website recently; shows below-average buying intent (score 8 vs. a typical 29),"This account has had more contact with sales than typical (4 touches in 90 days vs. a typical 1), making it a strong outbound candidate right now. Additionally, this account has not visited the website recently. Since they're in Manufacturing, open with a relevant use case for that industry rather than a generic intro."
ACC-01155,Prospect,2026-07-02,85,Retail,23.5,4,0,0,1,7,0.11569926762188526,Hot,SDR_Outbound,False,,has had more contact with sales than typical (7 touches in 90 days vs. a typical 1); generated more marketing-qualified leads than typical (4 in 90 days vs. a typical 1); has been less active on the website than usual (1 visits in the last 90 days vs. a typical 2),"This account has had more contact with sales than typical (7 touches in 90 days vs. a typical 1), making it a strong outbound candidate right now. Additionally, this account generated more marketing-qualified leads than typical (4 in 90 days vs. a typical 1). Since they're in Retail, open with a relevant use case for that industry rather than a generic intro."
ACC-00728,Prospect,2026-05-20,32,Software,8.9,0,0,0,10,0,0.11565648147974569,Hot,SDR_Outbound,False,,has been more active on the website than usual (10 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; shows below-average buying intent (score 9 vs. a typical 29),"This account has been more active on the website than usual (10 visits in the last 90 days vs. a typical 2), making it a strong outbound candidate right now. Additionally, this account has had no sales contact yet in the last 90 days. Since they're in Software, open with a relevant use case for that industry rather than a generic intro."
ACC-01129,Prospect,2026-03-28,76,Manufacturing,77.5,1,0,0,5,0,0.11346219942801374,Hot,SDR_Outbound,False,,shows strong buying intent (score 78 vs. a typical 29); has been more active on the website than usual (5 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days,"This account shows strong buying intent (score 78 vs. a typical 29), making it a strong outbound candidate right now. Additionally, this account has been more active on the website than usual (5 visits in the last 90 days vs. a typical 2). Since they're in Manufacturing, open with a relevant use case for that industry rather than a generic intro."
ACC-00100,Suspect,2026-04-29,16,Software,41.9,1,0,0,12,1,0.11292289808768276,Hot,SDR_Outbound,False,,has been more active on the website than usual (12 visits in the last 90 days vs. a typical 2); shows strong buying intent (score 42 vs. a typical 29); is a smaller company by headcount (16 employees vs. a typical 61),
ACC-00958,Former Customer,2025-06-18,106,Manufacturing,,0,0,0,0,5,0.11189924570400157,Hot,AM_WinBack,True,stale snapshot (409d old); intent_score missing (model-imputed),has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); has not visited the website recently; is a larger company by headcount (106 employees vs. a typical 61),
ACC-01339,Prospect,2025-12-04,42,Healthcare,70.1,0,0,0,3,0,0.11189756550402105,Hot,SDR_Outbound,False,,shows strong buying intent (score 70 vs. a typical 29); has had no sales contact yet in the last 90 days; has been more active on the website than usual (3 visits in the last 90 days vs. a typical 2),
ACC-00686,Prospect,2026-03-11,46,Professional Services,,0,1,3,1,6,0.11125287722673867,Hot,SDR_Outbound,False,intent_score missing (model-imputed),has had more contact with sales than typical (6 touches in 90 days vs. a typical 1); has been less active on the website than usual (1 visits in the last 90 days vs. a typical 2); has generated no marketing-qualified leads in the last 90 days,
ACC-00832,Prospect,2026-06-10,52,Manufacturing,14.6,0,0,0,0,5,0.11024819159307937,Hot,SDR_Outbound,False,,has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); has not visited the website recently; shows below-average buying intent (score 15 vs. a typical 29),
ACC-01496,Former Customer,2026-04-10,277,Retail,38.3,2,0,0,13,0,0.1093178941909934,Hot,AM_WinBack,False,,has been more active on the website than usual (13 visits in the last 90 days vs. a typical 2); is a larger company by headcount (277 employees vs. a typical 61); has had no sales contact yet in the last 90 days,
ACC-00768,Prospect,2025-12-31,69,Manufacturing,,0,1,0,14,1,0.1093010022519275,Hot,SDR_Outbound,False,intent_score missing (model-imputed),has been more active on the website than usual (14 visits in the last 90 days vs. a typical 2); has generated no marketing-qualified leads in the last 90 days; is a larger company by headcount (69 employees vs. a typical 61),
ACC-01102,Prospect,2026-04-27,29,Professional Services,42.5,1,0,0,10,1,0.10783694502697466,Hot,SDR_Outbound,False,,has been more active on the website than usual (10 visits in the last 90 days vs. a typical 2); shows strong buying intent (score 42 vs. a typical 29); is a smaller company by headcount (29 employees vs. a typical 61),
ACC-00101,Former Customer,2026-03-14,30,Manufacturing,45.6,2,0,0,0,6,0.10684008407039038,Hot,AM_WinBack,False,,has had more contact with sales than typical (6 touches in 90 days vs. a typical 1); has not visited the website recently; shows strong buying intent (score 46 vs. a typical 29),
ACC-00175,Former Customer,2026-04-25,317,Professional Services,24.6,0,0,0,0,4,0.10628786068898238,Warm,AM_WinBack,False,,has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); is a larger company by headcount (317 employees vs. a typical 61); has not visited the website recently,
ACC-00260,Prospect,2025-05-31,85,Financial Services,30.8,0,0,0,12,6,0.1061160830407632,Warm,SDR_Outbound,True,stale snapshot (427d old),has been more active on the website than usual (12 visits in the last 90 days vs. a typical 2); has had more contact with sales than typical (6 touches in 90 days vs. a typical 1); has generated no marketing-qualified leads in the last 90 days,
ACC-00506,Suspect,2026-07-12,16,Software,51.8,0,0,0,0,7,0.10604810116440141,Warm,SDR_Outbound,False,,has had more contact with sales than typical (7 touches in 90 days vs. a typical 1); shows strong buying intent (score 52 vs. a typical 29); has not visited the website recently,
ACC-00076,Suspect,2026-05-06,149,Financial Services,34.6,0,1,0,9,0,0.10311322001047164,Warm,SDR_Outbound,False,,has been more active on the website than usual (9 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; is a larger company by headcount (149 employees vs. a typical 61),
ACC-00935,Suspect,2025-12-10,218,Manufacturing,,0,0,0,2,5,0.10240259693077054,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); is a larger company by headcount (218 employees vs. a typical 61); has generated no marketing-qualified leads in the last 90 days,
ACC-00802,Prospect,2026-04-10,150,Software,50.7,2,1,0,5,0,0.10216062385316477,Warm,SDR_Outbound,False,,has been more active on the website than usual (5 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; shows strong buying intent (score 51 vs. a typical 29),
ACC-00828,Prospect,2026-06-02,23,Healthcare,38.8,1,0,0,0,5,0.10121894180391575,Warm,SDR_Outbound,False,,has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); has not visited the website recently; shows strong buying intent (score 39 vs. a typical 29),
ACC-00527,Suspect,2025-08-23,107,Retail,30.7,3,0,0,0,5,0.09929880086327554,Warm,SDR_Outbound,False,,has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); has not visited the website recently; generated more marketing-qualified leads than typical (3 in 90 days vs. a typical 1),
ACC-01415,Prospect,2025-05-21,143,Professional Services,,0,1,0,5,9,0.0978322737413732,Warm,SDR_Outbound,True,stale snapshot (437d old); intent_score missing (model-imputed),has had more contact with sales than typical (9 touches in 90 days vs. a typical 1); has been more active on the website than usual (5 visits in the last 90 days vs. a typical 2); is a larger company by headcount (143 employees vs. a typical 61),
ACC-00730,Suspect,2025-10-03,16,Financial Services,41.2,3,0,0,10,1,0.09757081236463523,Warm,SDR_Outbound,False,,has been more active on the website than usual (10 visits in the last 90 days vs. a typical 2); shows strong buying intent (score 41 vs. a typical 29); generated more marketing-qualified leads than typical (3 in 90 days vs. a typical 1),
ACC-00873,Prospect,2026-01-02,29,Professional Services,,0,0,0,11,2,0.09678499033697463,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has been more active on the website than usual (11 visits in the last 90 days vs. a typical 2); has had more contact with sales than typical (2 touches in 90 days vs. a typical 1); is a smaller company by headcount (29 employees vs. a typical 61),
ACC-01493,Prospect,2026-05-02,87,Healthcare,40.7,0,0,0,10,1,0.09569658236626725,Warm,SDR_Outbound,False,,has been more active on the website than usual (10 visits in the last 90 days vs. a typical 2); shows strong buying intent (score 41 vs. a typical 29); is a larger company by headcount (87 employees vs. a typical 61),
ACC-00570,Prospect,2026-04-18,28,Manufacturing,,0,0,0,0,5,0.09539632839806324,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); has not visited the website recently; is a smaller company by headcount (28 employees vs. a typical 61),
ACC-01471,Former Customer,2026-07-03,83,Professional Services,45.7,1,0,0,9,0,0.0950813307224932,Warm,AM_WinBack,False,,has been more active on the website than usual (9 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; shows strong buying intent (score 46 vs. a typical 29),
ACC-00915,Prospect,2026-04-19,93,Retail,43.7,1,0,0,3,6,0.09501886788438467,Warm,SDR_Outbound,False,,has had more contact with sales than typical (6 touches in 90 days vs. a typical 1); shows strong buying intent (score 44 vs. a typical 29); has been more active on the website than usual (3 visits in the last 90 days vs. a typical 2),
ACC-01021,Prospect,2025-10-15,135,Retail,39.3,0,0,0,8,1,0.09493761786388115,Warm,SDR_Outbound,False,,has been more active on the website than usual (8 visits in the last 90 days vs. a typical 2); is a larger company by headcount (135 employees vs. a typical 61); shows strong buying intent (score 39 vs. a typical 29),
ACC-00082,Prospect,2026-05-12,50,Professional Services,53.3,0,0,0,0,4,0.09421547420149011,Warm,SDR_Outbound,False,,has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); shows strong buying intent (score 53 vs. a typical 29); has not visited the website recently,
ACC-00758,Suspect,2026-05-31,9,Professional Services,,0,0,0,9,0,0.09410274838523036,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has been more active on the website than usual (9 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; is a smaller company by headcount (9 employees vs. a typical 61),
ACC-00183,Prospect,2025-05-11,29,Retail,67.8,5,0,0,0,0,0.09390799678253292,Warm,SDR_Outbound,True,stale snapshot (447d old),shows strong buying intent (score 68 vs. a typical 29); has not visited the website recently; has had no sales contact yet in the last 90 days,
ACC-01386,Suspect,2025-08-11,60,Healthcare,36.3,0,0,0,9,0,0.0934513979973762,Warm,SDR_Outbound,False,,has been more active on the website than usual (9 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; shows strong buying intent (score 36 vs. a typical 29),
ACC-00421,Suspect,2025-11-25,88,Software,30.1,2,0,0,0,4,0.09226289219416876,Warm,SDR_Outbound,False,,has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); has not visited the website recently; is a larger company by headcount (88 employees vs. a typical 61),
ACC-01128,Suspect,2026-03-11,20,Retail,,0,1,5,0,1,0.09209820670381863,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has not visited the website recently; is a smaller company by headcount (20 employees vs. a typical 61); has generated no marketing-qualified leads in the last 90 days,
ACC-00962,Prospect,2025-09-14,90,Software,57.9,0,1,3,1,0,0.09170971703162659,Warm,SDR_Outbound,False,,shows strong buying intent (score 58 vs. a typical 29); has had no sales contact yet in the last 90 days; has been less active on the website than usual (1 visits in the last 90 days vs. a typical 2),
ACC-00787,Former Customer,2026-04-04,62,Manufacturing,53.2,3,1,5,0,0,0.0906834440762641,Warm,AM_WinBack,False,,shows strong buying intent (score 53 vs. a typical 29); has not visited the website recently; has had no sales contact yet in the last 90 days,
ACC-00391,Former Customer,2026-03-04,81,Retail,,0,0,0,11,2,0.0893375356770386,Warm,AM_WinBack,False,intent_score missing (model-imputed),has been more active on the website than usual (11 visits in the last 90 days vs. a typical 2); has had more contact with sales than typical (2 touches in 90 days vs. a typical 1); has generated no marketing-qualified leads in the last 90 days,
ACC-00839,Prospect,2026-04-11,48,Manufacturing,9.8,1,0,0,1,4,0.08920446052655882,Warm,SDR_Outbound,False,,has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); shows below-average buying intent (score 10 vs. a typical 29); has been less active on the website than usual (1 visits in the last 90 days vs. a typical 2),
ACC-01394,Suspect,2026-05-12,61,Healthcare,,3,1,1,9,0,0.08826302031049164,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has been more active on the website than usual (9 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; generated more marketing-qualified leads than typical (3 in 90 days vs. a typical 1),
ACC-00042,Prospect,2024-11-22,191,Software,34.0,1,1,4,1,2,0.08824699546555363,Warm,SDR_Outbound,True,stale snapshot (617d old),is a larger company by headcount (191 employees vs. a typical 61); has had more contact with sales than typical (2 touches in 90 days vs. a typical 1); has been less active on the website than usual (1 visits in the last 90 days vs. a typical 2),
ACC-00525,Prospect,2026-05-04,14,Retail,27.6,1,1,3,4,1,0.08814372839602577,Warm,SDR_Outbound,False,,has been more active on the website than usual (4 visits in the last 90 days vs. a typical 2); is a smaller company by headcount (14 employees vs. a typical 61); shows below-average buying intent (score 28 vs. a typical 29),
ACC-00270,Suspect,2026-04-28,45,Financial Services,12.0,0,0,0,2,5,0.08755912602863473,Warm,SDR_Outbound,False,,has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); shows below-average buying intent (score 12 vs. a typical 29); has generated no marketing-qualified leads in the last 90 days,
ACC-01326,Former Customer,2025-05-26,21,Retail,22.5,0,0,0,1,9,0.08733723282712451,Warm,AM_WinBack,True,stale snapshot (432d old),has had more contact with sales than typical (9 touches in 90 days vs. a typical 1); has been less active on the website than usual (1 visits in the last 90 days vs. a typical 2); is a smaller company by headcount (21 employees vs. a typical 61),
ACC-00989,Suspect,2026-05-01,9,Professional Services,,3,0,0,9,0,0.08684647485124945,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has been more active on the website than usual (9 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; is a smaller company by headcount (9 employees vs. a typical 61),
ACC-01008,Prospect,2026-05-14,30,Professional Services,,3,0,0,10,0,0.08684647485124945,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has been more active on the website than usual (10 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; generated more marketing-qualified leads than typical (3 in 90 days vs. a typical 1),
ACC-01404,Suspect,2026-04-18,175,Software,,4,1,0,9,0,0.08423324074642272,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has been more active on the website than usual (9 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; is a larger company by headcount (175 employees vs. a typical 61),
ACC-01440,Prospect,2026-04-26,175,Manufacturing,7.6,4,0,0,8,0,0.08404799046149894,Warm,SDR_Outbound,False,,has been more active on the website than usual (8 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; is a larger company by headcount (175 employees vs. a typical 61),
ACC-00690,Prospect,2026-05-18,30,Retail,,2,0,0,0,4,0.08355112935570029,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); has not visited the website recently; is a smaller company by headcount (30 employees vs. a typical 61),
ACC-01289,Prospect,2026-06-16,51,Financial Services,,1,0,0,0,4,0.08355112935570029,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); has not visited the website recently; is a smaller company by headcount (51 employees vs. a typical 61),
ACC-00200,Prospect,2026-04-07,47,Retail,43.7,0,1,3,6,0,0.08338605388980742,Warm,SDR_Outbound,False,,has been more active on the website than usual (6 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; shows strong buying intent (score 44 vs. a typical 29),
ACC-01429,Suspect,2026-06-24,80,Software,,1,1,1,3,5,0.08275530760158395,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); has been more active on the website than usual (3 visits in the last 90 days vs. a typical 2); is a larger company by headcount (80 employees vs. a typical 61),
ACC-01043,Former Customer,2026-06-19,56,Software,14.3,3,0,0,10,0,0.08266988385239853,Warm,AM_WinBack,False,,has been more active on the website than usual (10 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; shows below-average buying intent (score 14 vs. a typical 29),
ACC-01334,Suspect,2025-10-24,111,Retail,55.0,1,0,0,0,0,0.08175445106980246,Warm,SDR_Outbound,False,,shows strong buying intent (score 55 vs. a typical 29); has not visited the website recently; has had no sales contact yet in the last 90 days,
ACC-00233,Prospect,2026-02-21,102,Manufacturing,22.1,0,0,0,8,0,0.07996952485132162,Warm,SDR_Outbound,False,,has been more active on the website than usual (8 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; is a larger company by headcount (102 employees vs. a typical 61),
ACC-00323,Prospect,2025-11-10,58,Healthcare,,4,0,0,9,4,0.07955427291334784,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has been more active on the website than usual (9 visits in the last 90 days vs. a typical 2); has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); generated more marketing-qualified leads than typical (4 in 90 days vs. a typical 1),
ACC-01411,Prospect,2026-05-24,52,Retail,22.3,2,0,0,8,1,0.07954199806076186,Warm,SDR_Outbound,False,,has been more active on the website than usual (8 visits in the last 90 days vs. a typical 2); shows below-average buying intent (score 22 vs. a typical 29); generated more marketing-qualified leads than typical (2 in 90 days vs. a typical 1),
ACC-01475,Suspect,2026-06-13,107,Retail,41.7,0,1,1,5,2,0.07834794029739756,Warm,SDR_Outbound,False,,has been more active on the website than usual (5 visits in the last 90 days vs. a typical 2); has had more contact with sales than typical (2 touches in 90 days vs. a typical 1); shows strong buying intent (score 42 vs. a typical 29),
ACC-00718,Prospect,2025-12-20,25,Manufacturing,70.2,0,0,0,2,0,0.07784778767648635,Warm,SDR_Outbound,False,,shows strong buying intent (score 70 vs. a typical 29); has had no sales contact yet in the last 90 days; is a smaller company by headcount (25 employees vs. a typical 61),
ACC-00887,Prospect,2026-04-25,25,Manufacturing,58.1,2,0,0,0,3,0.07770539894494244,Warm,SDR_Outbound,False,,has had more contact with sales than typical (3 touches in 90 days vs. a typical 1); shows strong buying intent (score 58 vs. a typical 29); has not visited the website recently,
ACC-00414,Prospect,2026-04-18,14,Financial Services,,3,0,0,0,4,0.07757703759970261,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); has not visited the website recently; generated more marketing-qualified leads than typical (3 in 90 days vs. a typical 1),
ACC-01432,Suspect,2025-11-05,7,Retail,18.8,2,0,0,5,4,0.0775199048887803,Warm,SDR_Outbound,False,,has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); has been more active on the website than usual (5 visits in the last 90 days vs. a typical 2); is a smaller company by headcount (7 employees vs. a typical 61),
ACC-00631,Prospect,2026-01-02,38,Software,,0,0,0,8,0,0.07656075349865811,Warm,SDR_Outbound,False,intent_score missing (model-imputed),has been more active on the website than usual (8 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days; has generated no marketing-qualified leads in the last 90 days,
ACC-00501,Suspect,2026-03-25,66,Financial Services,23.8,3,0,0,6,2,0.07643744130444105,Warm,SDR_Outbound,False,,has been more active on the website than usual (6 visits in the last 90 days vs. a typical 2); has had more contact with sales than typical (2 touches in 90 days vs. a typical 1); generated more marketing-qualified leads than typical (3 in 90 days vs. a typical 1),
ACC-01414,Prospect,2026-04-08,34,Manufacturing,23.5,2,0,0,0,2,0.07633136106572597,Warm,SDR_Outbound,False,,has not visited the website recently; has had more contact with sales than typical (2 touches in 90 days vs. a typical 1); shows below-average buying intent (score 24 vs. a typical 29),
